[2014-08-21 15:47:21] EDIT taratorka/views/default/posts_manage.html: 0
[2014-08-21 15:48:36] EDIT taratorka/controllers/default.py: 0
[2014-08-21 15:50:45] EDIT taratorka/views/default/posts_manage.html: 0
[2014-08-21 15:51:24] EDIT taratorka/controllers/default.py: 0
[2014-08-21 15:51:47] EDIT taratorka/views/default/posts_manage.html: -3
[2014-08-21 15:51:55] EDIT taratorka/views/default/posts_manage.html: 0
[2014-08-21 15:53:19] EDIT taratorka/views/default/posts_manage.html: 0
[2014-08-21 15:54:45] EDIT taratorka/controllers/default.py: 0
[2014-08-21 15:58:40] EDIT taratorka/controllers/default.py: 0
[2014-08-21 16:00:46] EDIT taratorka/controllers/default.py: 0
